ParkRegionId,ParkId,RegionId
1,1,1
2,22,1
3,23,1
4,24,1
5,38,1
6,39,1
7,71,1
8,72,1
9,73,1
10,74,1
11,75,1
12,138,1
13,167,1
14,168,1
15,169,1
16,2,2
17,3,2
18,4,2
19,5,2
20,6,2
21,7,2
22,8,2
23,9,2
24,10,2
25,11,2
26,12,2
27,13,2
28,14,2
29,15,2
30,16,2
31,17,2
32,18,2
33,19,2
34,20,2
35,21,2
36,171,2
37,172,2
38,173,2
39,192,2
40,194,2
41,195,2
42,25,3
43,26,3
44,27,3
45,31,3
46,32,3
47,33,3
48,34,3
49,35,3
50,36,3
51,37,3
52,182,3
53,193,3
54,196,3
55,28,4
56,29,4
57,30,4
58,76,4
59,77,4
60,101,4
61,102,4
62,103,4
63,104,4
64,105,4
65,106,4
66,107,4
67,108,4
68,109,4
69,110,4
70,111,4
71,112,4
72,113,4
73,114,4
74,115,4
75,116,4
76,117,4
77,118,4
78,119,4
79,120,4
80,121,4
81,122,4
82,123,4
83,124,4
84,125,4
85,126,4
86,127,4
87,179,4
88,183,4
89,188,4
90,40,5
91,41,5
92,42,5
93,43,5
94,44,5
95,45,5
96,46,5
97,47,5
98,48,5
99,49,5
100,50,5
101,51,5
102,52,5
103,53,5
104,54,5
105,55,5
106,56,5
107,57,5
108,58,5
109,59,5
110,66,5
111,67,5
112,68,5
113,69,5
114,70,5
115,180,5
116,191,5
117,60,6
118,61,6
119,62,6
120,63,6
121,64,6
122,65,6
123,78,6
124,96,6
125,97,6
126,98,6
127,99,6
128,100,6
129,152,6
130,153,6
131,174,6
132,175,6
133,176,6
134,177,6
135,187,6
136,189,6
137,190,6
138,79,7
139,80,7
140,81,7
141,82,7
142,83,7
143,84,7
144,85,7
145,86,7
146,87,7
147,88,7
148,89,7
149,90,7
150,91,7
151,92,7
152,93,7
153,94,7
154,95,7
155,145,7
156,146,7
157,147,7
158,148,7
159,149,7
160,150,7
161,151,7
162,154,7
163,155,7
164,158,7
165,159,7
166,160,7
167,161,7
168,164,7
169,166,7
170,170,7
171,185,7
172,186,7
173,128,8
174,129,8
175,130,8
176,131,8
177,132,8
178,133,8
179,134,8
180,135,8
181,136,8
182,137,8
183,139,8
184,140,8
185,141,8
186,142,8
187,143,8
188,144,8
189,156,8
190,157,8
191,162,8
192,163,8
193,165,8
194,178,8
195,181,8
196,184,8
197,197,8
