ParkId,Name,Type,Region,Camping,NearestCity
1,Goose Lake State Recreation Area,Recreation Area,Southern Oregon,TRUE,Lakeview
2,Frenchglen Hotel State Heritage Site,Heritage Site,Eastern Oregon,FALSE,Burns
3,Ontario State Recreation Site,Recreation Site,Eastern Oregon,FALSE,Ontario
4,Farewell Bend State Recreation Area,Recreation Area,Eastern Oregon,TRUE,Ontario
5,Kam Wah Chung State Heritage Site,Heritage Site,Eastern Oregon,FALSE,John Day
6,Unity Forest State Scenic Corridor,Scenic Corridor,Eastern Oregon,FALSE,John Day
7,Unity Lake State Recreation Site,Recreation Site,Eastern Oregon,TRUE,John Day
8,Clyde Holliday State Recreation Site,Recreation Site,Eastern Oregon,TRUE,John Day
9,Succor Creek State Natural Area,Natural Area,Eastern Oregon,TRUE,Nyssa
10,Lake Owyhee State Park,State Park,Eastern Oregon,TRUE,Nyssa
11,Catherine Creek State Park,State Park,Eastern Oregon,TRUE,Union
12,Hat Rock State Park,State Park,Eastern Oregon,FALSE,Umatilla
13,Hilgard Junction State Recreation Area,Recreation Area,Eastern Oregon,TRUE,La Grande
14,Red Bridge State Wayside,Wayside,Eastern Oregon,TRUE,La Grande
15,Ukiah–Dale Forest State Scenic Corridor,Scenic Corridor,Eastern Oregon,TRUE,Ukiah
16,Emigrant Springs State Heritage Area,Heritage Area,Eastern Oregon,TRUE,Pendleton
17,Wallowa Lake Highway Forest State Scenic Corridor,Scenic Corridor,Eastern Oregon,FALSE,Enterprise
18,Wallowa River Rest Area,Rest Area,Eastern Oregon,FALSE,La Grande
19,Minam State Recreation Area,Recreation Area,Eastern Oregon,TRUE,Elgin
20,Wallowa Lake State Recreation Area,Recreation Area,Eastern Oregon,TRUE,Joseph
21,Iwetemlaykin State Heritage Site,Heritage Site,Eastern Oregon,FALSE,Joseph
22,Casey State Recreation Site,Recreation Site,Southern Oregon,FALSE,Medford
23,Prospect State Scenic Viewpoint,Scenic Viewpoint,Southern Oregon,FALSE,Prospect
24,Joseph H. Stewart State Recreation Area,Recreation Area,Southern Oregon,TRUE,Medford
25,The Cove Palisades State Park,State Park,Central Oregon,TRUE,Madras
26,Jasper Point Campground,Campground,Central Oregon,TRUE,Prineville
27,Prineville Reservoir State Park,State Park,Central Oregon,TRUE,Prineville
28,Heritage Landing (Deschutes),Boat Launch,Portland/Columbia Gorge,FALSE,The Dalles
29,White River Falls State Park,State Park,Portland/Columbia Gorge,FALSE,The Dalles
30,Deschutes River State Recreation Area,Recreation Area,Portland/Columbia Gorge,TRUE,The Dalles
31,Cline Falls State Scenic Viewpoint,Scenic Viewpoint,Central Oregon,FALSE,Redmond
32,Fort Rock State Natural Area,Natural Area,Central Oregon,TRUE,Fort Rock
33,La Pine State Park,State Park,Central Oregon,TRUE,La Pine
34,Pilot Butte State Scenic Viewpoint,Scenic Viewpoint,Central Oregon,FALSE,Bend
35,Tumalo State Park,State Park,Central Oregon,TRUE,Bend
36,Peter Skene Ogden State Scenic Viewpoint,Scenic Viewpoint,Central Oregon,FALSE,Redmond
37,Smith Rock State Park,State Park,Central Oregon,TRUE,Redmond
38,Booth State Scenic Corridor,Scenic Corridor,Southern Oregon,FALSE,Lakeview
39,Chandler State Wayside,Wayside,Southern Oregon,FALSE,Lakeview
40,Geisel Monument State Heritage Site,Heritage Site,South Coast,FALSE,Gold Beach
41,Humbug Mountain State Park,State Park,South Coast,TRUE,Port Orford
42,Otter Point State Recreation Site,Recreation Site,South Coast,FALSE,Gold Beach
43,Paradise Point State Recreation Site,Recreation Site,South Coast,FALSE,Port Orford
44,Port Orford Heads State Park,State Park,South Coast,FALSE,Port Orford
45,Cape Blanco State Park,State Park,South Coast,TRUE,Port Orford
46,Bandon State Natural Area,Natural Area,South Coast,FALSE,Bandon
47,Coquille Myrtle Grove State Natural Site,Natural Site,South Coast,FALSE,Myrtle Point
48,Face Rock State Scenic Viewpoint,Scenic Viewpoint,South Coast,FALSE,Bandon
49,Hoffman Memorial State Wayside,Wayside,South Coast,FALSE,Myrtle Point
50,Seven Devils State Recreation Site,Recreation Site,South Coast,FALSE,Bandon
51,Bullards Beach State Park,State Park,South Coast,TRUE,Bandon
52,Alfred A. Loeb State Park,State Park,South Coast,TRUE,Brookings
53,Cape Sebastian State Scenic Corridor,Scenic Corridor,South Coast,FALSE,Gold Beach
54,Crissey Field State Recreation Site,Recreation Site,South Coast,FALSE,Brookings
55,McVay Rock State Recreation Site,Recreation Site,South Coast,FALSE,Brookings
56,Pistol River State Scenic Viewpoint,Scenic Viewpoint,South Coast,FALSE,Gold Beach
57,Samuel H. Boardman State Scenic Corridor,Scenic Corridor,South Coast,FALSE,Brookings
58,Winchuck State Recreation Site,Recreation Site,South Coast,FALSE,Brookings
59,Harris Beach State Recreation Area,Recreation Area,South Coast,TRUE,Brookings
60,Alderwood State Wayside,Wayside,Willamette Valley,FALSE,Junction City
61,Elijah Bristow State Park,State Park,Willamette Valley,FALSE,Eugene
62,Washburne State Wayside,Wayside,Willamette Valley,FALSE,Junction City
63,Mongold Day-Use Area,Boat Launch,Willamette Valley,FALSE,Detroit
64,North Santiam State Recreation Area,Recreation Area,Willamette Valley,FALSE,Mill City
65,Detroit Lake State Recreation Area,Recreation Area,Willamette Valley,TRUE,Detroit
66,Cape Arago State Park,State Park,South Coast,FALSE,Coos Bay
67,Golden and Silver Falls State Natural Area,Natural Area,South Coast,FALSE,Coos Bay
68,Shore Acres State Park,State Park,South Coast,FALSE,Coos Bay
69,William M. Tugman State Park,State Park,South Coast,TRUE,Reedsport
70,Sunset Bay State Park,State Park,South Coast,TRUE,Coos Bay
71,Illinois River Forks State Park,State Park,Southern Oregon,FALSE,Cave Junction
72,TouVelle State Recreation Site,Recreation Site,Southern Oregon,FALSE,Medford
73,Tub Springs State Wayside,Wayside,Southern Oregon,FALSE,Ashland
74,Wolf Creek Inn State Heritage Site,Heritage Site,Southern Oregon,FALSE,Grants Pass
75,Valley of the Rogue State Recreation Area,Recreation Area,Southern Oregon,TRUE,Grants Pass
76,Bald Peak State Scenic Viewpoint,Scenic Viewpoint,Portland/Columbia Gorge,FALSE,Newberg
77,Molalla River State Park,State Park,Portland/Columbia Gorge,FALSE,Canby
78,Champoeg State Heritage Area,Heritage Area,Willamette Valley,TRUE,Newberg
79,Beaver Creek State Natural Area,State Park,Central Coast,FALSE,Newport
80,Bolon Island Tideways State Scenic Corridor,Scenic Corridor,Central Coast,FALSE,Reedsport
81,Darlingtonia State Natural Site,Natural Site,Central Coast,FALSE,Florence
82,Governor Patterson Memorial State Recreation Site,Recreation Site,Central Coast,FALSE,Waldport
83,Umpqua Lighthouse State Park,State Park,Central Coast,TRUE,Reedsport
84,Beachside State Recreation Site,Recreation Site,Central Coast,TRUE,Waldport
85,Carl G. Washburne Memorial State Park,State Park,Central Coast,TRUE,Florence
86,Heceta Head Lighthouse State Scenic Viewpoint,Scenic Viewpoint,Central Coast,FALSE,Florence
87,Muriel O. Ponsler Memorial State Scenic Viewpoint,Scenic Viewpoint,Central Coast,FALSE,Florence
88,Neptune State Scenic Viewpoint,Scenic Viewpoint,Central Coast,FALSE,Yachats
89,Smelt Sands State Recreation Site,Recreation Site,Central Coast,FALSE,Yachats
90,Tokatee Klootchman State Natural Site,Natural Site,Central Coast,FALSE,Florence
91,Stonefield Beach State Recreation Site,Recreation Site,Central Coast,FALSE,Yachats
92,W. B. Nelson State Recreation Site,Recreation Site,Central Coast,FALSE,Waldport
93,Yachats Ocean Road State Natural Site,Natural Site,Central Coast,FALSE,Yachats
94,Yachats State Recreation Area,Recreation Area,Central Coast,FALSE,Yachats
95,Jessie M. Honeyman Memorial State Park,State Park,Central Coast,TRUE,Florence
96,Erratic Rock State Natural Site,Natural Site,Willamette Valley,FALSE,Sheridan
97,Holman State Wayside,Wayside,Willamette Valley,FALSE,Salem
98,Maud Williamson State Recreation Site,Recreation Site,Willamette Valley,FALSE,Salem
99,Sarah Helmick State Recreation Site,Recreation Site,Willamette Valley,FALSE,Monmouth
100,Willamette Mission State Park,State Park,Willamette Valley,FALSE,Salem
101,Bonnie Lure State Recreation Area,Recreation Area,Portland/Columbia Gorge,FALSE,Estacada
102,Mary S. Young State Recreation Area,Recreation Area,Portland/Columbia Gorge,FALSE,West Linn
103,Milo McIver State Park,State Park,Portland/Columbia Gorge,TRUE,Estacada
104,Tryon Creek State Natural Area,Natural Area,Portland/Columbia Gorge,FALSE,Portland
105,Banks–Vernonia State Trail,State Trail,Portland/Columbia Gorge,FALSE,Vernonia
106,Ainsworth State Park,State Park,Portland/Columbia Gorge,TRUE,Multnomah Falls
107,Benson State Recreation Area,Recreation Area,Portland/Columbia Gorge,FALSE,Multnomah Falls
108,Bridal Veil Falls State Scenic Viewpoint,Scenic Viewpoint,Portland/Columbia Gorge,FALSE,Multnomah Falls
109,Crown Point State Scenic Corridor,Scenic Corridor,Portland/Columbia Gorge,FALSE,Troutdale
110,Dabney State Recreation Area,Recreation Area,Portland/Columbia Gorge,FALSE,Troutdale
111,George W. Joseph State Natural Area (accessible from Guy W. Talbot State Park),Natural Area,Portland/Columbia Gorge,FALSE,Troutdale
112,Guy W. Talbot State Park,State Park,Portland/Columbia Gorge,FALSE,Troutdale
113,Historic Columbia River Highway State Trail,State Trail,Portland/Columbia Gorge,FALSE,Cascade Locks
114,John B. Yeon State Scenic Corridor,Scenic Corridor,Portland/Columbia Gorge,FALSE,Cascade Locks
115,Koberg Beach State Recreation Site,Recreation Site,Portland/Columbia Gorge,FALSE,Hood River
116,Lewis and Clark State Recreation Site,Recreation Site,Portland/Columbia Gorge,FALSE,Troutdale
117,Mayer State Park,State Park,Portland/Columbia Gorge,FALSE,The Dalles
118,Memaloose State Park,State Park,Portland/Columbia Gorge,TRUE,The Dalles
119,Portland Women's Forum State Scenic Viewpoint,Scenic Viewpoint,Portland/Columbia Gorge,FALSE,Troutdale
120,Seneca Fouts Memorial State Natural Area,Natural Area,Portland/Columbia Gorge,FALSE,Hood River
121,Shepperd's Dell State Natural Area,Natural Area,Portland/Columbia Gorge,FALSE,Multnomah Falls
122,Sheridan State Scenic Corridor,Scenic Corridor,Portland/Columbia Gorge,FALSE,Cascade Locks
123,Starvation Creek State Park,State Park,Portland/Columbia Gorge,FALSE,Hood River
124,Viento State Park,State Park,Portland/Columbia Gorge,TRUE,Hood River
125,Vinzenz Lausmann Memorial State Natural Area,Natural Area,Portland/Columbia Gorge,FALSE,Hood River
126,Wygant State Natural Area,Natural Area,Portland/Columbia Gorge,FALSE,Hood River
127,Rooster Rock State Park,State Park,Portland/Columbia Gorge,FALSE,Multnomah Falls
128,Bradley State Scenic Viewpoint,Scenic Viewpoint,North Coast,FALSE,Astoria
129,Del Rey Beach State Recreation Site,Recreation Site,North Coast,FALSE,Gearhart
130,Fort Stevens State Park,State Park,North Coast,TRUE,Astoria
131,Cape Kiwanda State Natural Area,Natural Area,North Coast,FALSE,Pacific City
132,Cape Meares State Scenic Viewpoint,Scenic Viewpoint,North Coast,FALSE,Tillamook
133,Oceanside Beach State Recreation Site,Recreation Site,North Coast,FALSE,Tillamook
134,Bob Straub State Park,State Park,North Coast,FALSE,Pacific City
135,Cape Lookout State Park,State Park,North Coast,TRUE,Tillamook
136,Arcadia Beach State Recreation Site,Recreation Site,North Coast,FALSE,Cannon Beach
137,Ecola State Park,State Park,North Coast,FALSE,Cannon Beach
138,Golden State Heritage Site,Heritage Site,Southern Oregon,FALSE,Grants Pass
139,Hug Point State Recreation Site,Recreation Site,North Coast,FALSE,Cannon Beach
140,Manhattan Beach State Recreation Site,Recreation Site,North Coast,FALSE,Rockaway Beach
141,Oswald West State Park,State Park,North Coast,FALSE,Cannon Beach
142,Saddle Mountain State Natural Area,Natural Area,North Coast,TRUE,Seaside
143,Tolovana Beach State Recreation Site,Recreation Site,North Coast,FALSE,Cannon Beach
144,Nehalem Bay State Park,State Park,North Coast,TRUE,Manzanita
145,Alsea Bay Historic Interpretive Center,Interpretive Center,Central Coast,FALSE,Waldport
146,Driftwood Beach State Recreation Site,Recreation Site,Central Coast,FALSE,Waldport
147,Lost Creek State Recreation Site,Recreation Site,Central Coast,FALSE,Newport
148,Ona Beach State Park,State Park,Central Coast,FALSE,Newport
149,Seal Rock State Recreation Site,Recreation Site,Central Coast,FALSE,Newport
